time,name,x,y,z
1625126231.9079645,c58a,0.95,5.2,1.0
1625126231.9667602,c50,6.31,4.89,1.0
1625126232.0090063,c58a,1.04,5.14,1.0
1625126232.0563786,c50,6.32,4.89,1.0
1625126232.1072078,c58a,0.66,5.11,1.0
1625126232.1922789,c50,6.26,4.98,1.0
1625126232.2343345,c58a,0.92,5.1,1.0
1625126232.2736475,c50,6.3,4.86,1.0
1625126232.3172708,c58a,0.94,5.13,1.0
1625126232.3583672,c50,6.3,4.83,1.0
1625126232.402323,c58a,1.01,5.38,1.0
1625126232.445532,c50,6.33,4.79,1.0
1625126232.5034764,c58a,1.01,5.14,1.0
1625126232.5516465,c50,6.31,4.93,1.0
1625126232.608858,c58a,0.92,5.13,1.0
1625126232.6506982,c50,6.35,4.85,1.0
1625126232.6828604,c50,6.48,5.11,1.0
1625126232.7209852,c58a,0.96,5.21,1.0
1625126232.8058052,c58a,1.05,5.14,1.0
1625126232.9270146,c58a,0.64,4.88,1.0
1625126233.0023043,c50,6.34,4.85,1.0
1625126233.007291,c58a,0.97,5.11,1.0
1625126233.102687,c50,6.33,4.85,1.0
1625126233.1463559,c58a,0.94,5.11,1.0
1625126233.1944842,c50,6.34,4.9,1.0
1625126233.2328146,c58a,1.03,5.09,1.0
1625126233.2869077,c50,6.36,4.87,1.0
1625126233.3293822,c58a,0.96,5.18,1.0
1625126233.382963,c50,6.38,4.9,1.0
1625126233.4147274,c58a,0.92,5.14,1.0
1625126233.472123,c50,6.36,4.82,1.0
1625126233.5170279,c58a,0.99,5.07,1.0
1625126233.5740888,c50,6.35,4.84,1.0
1625126233.6169176,c58a,1.02,5.17,1.0
1625126233.6722665,c50,6.34,4.87,1.0
1625126233.7025242,c58a,0.94,5.05,1.0
1625126233.7620232,c50,6.32,4.86,1.0
1625126233.803303,c58a,0.9,5.13,1.0
1625126233.8645508,c50,6.35,4.83,1.0
1625126233.9078684,c58a,1.03,5.14,1.0
1625126233.9921517,c50,6.31,4.83,1.0
1625126233.997137,c58a,1.0,5.16,1.0
1625126234.0541074,c50,6.37,4.9,1.0
1625126234.097101,c58a,0.99,5.18,1.0
1625126234.1450062,c50,6.34,4.8,1.0
1625126234.186955,c58a,1.02,5.21,1.0
1625126234.2776723,c50,6.34,4.83,1.0
1625126234.2816653,c58a,0.97,5.2,1.0
1625126234.3197527,c58a,1.01,5.14,1.0
1625126234.360714,c50,6.33,4.92,1.0
1625126234.4456506,c50,6.3,4.86,1.0
1625126234.5333385,c50,6.35,4.88,1.0
1625126234.637261,c50,6.34,4.82,1.0
1625126234.736799,c50,6.39,4.77,1.0
1625126234.839495,c50,6.37,4.75,1.0
1625126234.9102778,552,2.33,4.52,1.0
1625126234.9512174,c50,6.32,4.78,1.0
1625126235.0332968,c50,6.33,4.82,1.0
1625126235.1238322,c50,6.35,4.83,1.0
1625126235.2228515,c50,6.33,4.84,1.0
1625126235.3271873,c50,6.35,4.87,1.0
1625126235.412502,c50,6.36,4.84,1.0
1625126235.5190945,c50,6.33,4.77,1.0
1625126235.6280396,c50,6.32,4.74,1.0
1625126235.7158542,c50,6.32,4.77,1.0
1625126235.8146105,c50,6.34,4.76,1.0
1625126235.9262576,c50,6.34,4.75,1.0
1625126236.007828,c50,6.3,4.81,1.0
1625126236.1072083,c50,6.36,4.81,1.0
1625126236.2283084,c50,6.51,4.2,1.0
1625126236.5651019,c50,6.54,4.28,1.0
1625126236.6052344,c8a9,2.62,4.95,1.0
1625126236.6895063,c50,6.74,4.63,1.0
1625126236.7746623,c50,6.68,4.44,1.0
1625126236.8641531,c50,6.61,4.41,1.0
1625126236.9779658,c50,6.63,4.56,1.0
1625126237.063268,c50,6.56,4.47,1.0
1625126237.16932,c50,6.38,4.87,1.0
1625126237.278084,c50,6.65,4.1,1.0
1625126237.3658738,c50,6.36,4.92,1.0
1625126237.463481,c50,6.43,4.89,1.0
1625126237.5770798,c50,6.54,4.49,1.0
